iter	TotalF1:average=Micro	MultiClass
185	0.7162073096	0.6379671316
186	0.7164619657	0.6377078248
187	0.7165641434	0.6374454618
188	0.7166521734	0.6372277305
189	0.7167796764	0.6369544598
190	0.7169442689	0.6366969973
191	0.7170599386	0.6364518125
192	0.7171361583	0.6362660137
193	0.7173000723	0.6361422357
194	0.7174110238	0.6359069046
195	0.7175374985	0.6357037695
196	0.7176656571	0.6354436196
197	0.7175776315	0.635281902
198	0.7176929653	0.635064118
199	0.7178531755	0.6348689397
200	0.7180123668	0.634649206
201	0.7179074679	0.6345114114
202	0.7181961795	0.6343463213
203	0.7182498045	0.6340645142
204	0.7183260266	0.63383113282205	0.7183874041	0.63367826782206	0.7185553622	0.63344662532207	0.7188302459	0.63321967252208	0.7189172592	0.63305279092209	0.7190623026	0.63279327332210	0.7190491283	0.63264109332211	0.7192788294	0.63239975521212	0.7192525057	0.63227097121213	0.7194069833	0.63210087521214	0.7195783139	0.63188161521215	0.7197014161	0.63164591521216	0.7197182805	0.63151544521217	0.7199334615	0.6313859221218	0.7199408758	0.63125877321219	0.71998405	0.6311137599
220	0.720083879	0.6309020357
221	0.7201907954	0.6305514103
222	0.7203510034	0.6302920508
223	0.7204781566	0.6300581425
224	0.7204838916	0.6298794574
225	0.7206646837	0.6297263288
226	0.720880564	0.6294698675
227	0.720935192	0.6292743204
228	0.7212097331	0.6291252492
229	0.7211658962	0.6289505689
230	0.7211756592	0.6287736754
231	0.7212653618	0.6286076368
232	0.7215348603	0.6283607658
233	0.7216653836	0.6281651132
234	0.7216991124	0.6279852689
235	0.721820533	0.6277432984
236	0.7218606616	0.6275326281
